SKU,Length,Width,Height,URL,Image
BK-1HDV,16,10,7.25,https://www.nefal.tv/de/porta-brace-bk-1hdv/,https://static.wixstatic.com/media/198a64_a8ea0b60eaf646a5b253c26369ccb510~mv2.jpg
BK-2NR,12,8,17.75,https://www.nefal.tv/de/porta-brace-bk-2nr/,https://static.wixstatic.com/media/b7e951_6c7d6b8588c94e44a6528f29940c2dd8~mv2.jpg
CAR-1B,14.3,9,7.3,https://www.nefal.tv/de/porta-brace-car-1b/,https://static.wixstatic.com/media/b7e951_d42ef13e613048ea813c50b2e8c8d196~mv2.png
CAR-2B,18,10,8,https://www.nefal.tv/de/porta-brace-car-2b-cargo-case-black/,https://static.wixstatic.com/media/198a64_597e076be8d14275a368d5234685294c~mv2.jpg
CAR-2CAM,17,9,7.5,https://www.nefal.tv/de/porta-brace-car-2cam/,https://static.wixstatic.com/media/198a64_963644e06342471cb3c071e94649b59a~mv2.jpg
CAR-3B,21,8,10,https://www.nefal.tv/de/porta-brace-car-3b-cargo-case-black/,https://static.wixstatic.com/media/198a64_f9c7c79090ac488093734564ce3fb15d~mv2.jpg
CAR-3CAM,21.8,9,9,https://www.nefal.tv/de/porta-brace-car-3cam/,https://static.wixstatic.com/media/b7e951_f63ebc9711ce464aac1600a0ec46cafe~mv2.jpg
CAR-3CAMOR,22,9.5,11,https://www.nefal.tv/de/detail/018a1c7e4d057afabcc79a78fa61fa6d,https://static.wixstatic.com/media/b7e951_6f5d35b59efb4983886ea825857b9605~mv2.jpg
CAR-3CAMT,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-3camt/,https://static.wixstatic.com/media/b7e951_98ad1012652d49c9adac1487d729258c~mv2.jpg
CAR-4CAM,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-4cam/,https://static.wixstatic.com/media/198a64_e2e2d0b428c44733b12e8f0be36a5d44~mv2.jpg
CAR-4CAMOR,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-4camor/,https://static.wixstatic.com/media/b7e951_83545d67805e4580b0e929125cf24885~mv2.jpg
CC-3ENGOR,22,9.5,11,https://www.nefal.tv/de/porta-brace-cc-3engor/,https://static.wixstatic.com/media/198a64_ded394fb252445d99a9f0bf9fd67c06f~mv2.jpg
CC-HD1,21,8,10,https://www.nefal.tv/de/porta-brace-cc-hd1-quick-draw-camera-case/,https://static.wixstatic.com/media/198a64_ac301fee48bd4dc0960139ce0723a6b8~mv2.jpg
CS-DV1R,21,8,10,https://www.nefal.tv/de/porta-brace-cs-dv1r/,https://static.wixstatic.com/media/b7e951_0d8e690528b84fe1a45a091697efeca0~mv2.jpg
CS-DV3R,18,8.5,7,https://www.nefal.tv/de/detail/f09c8af6bd694652826199ee6ad78c0b,https://static.wixstatic.com/media/b7e951_18328c9d64f0418ea51af6b134119afb~mv2.png
CS-DV4R,21.5,10,8,https://www.nefal.tv/de/detail/926787615d0843baafcae8d9eac3dfe1,https://static.wixstatic.com/media/6f4f76_20610097f2704d7eb5dae0a0d5e09b62~mv2.png
DVO-1R,17,8.5,7,https://www.nefal.tv/de/porta-brace-dvo-1r-dvo-1u-dv-organizer-dvo-1r-rot/,https://static.wixstatic.com/media/b7e951_47f554f12b64482da51c29e0543a1883~mv2.jpg
DVO-2R,18,10,9,https://www.nefal.tv/de/porta-brace-dvo-2r/,https://static.wixstatic.com/media/b7e951_78c5032ac1004be8863b1068ad086460~mv2.jpg
DVO-3R,18.5,12,9.5,https://www.nefal.tv/de/porta-brace-dvo-3r/,https://static.wixstatic.com/media/b7e951_54d9db8d62654537a094ae9b463ccdb8~mv2.jpg
GRIP-1B,18.7,9.5,7,https://www.nefal.tv/de/porta-brace-grip-1b/,https://static.wixstatic.com/media/198a64_3f5866ca757f4d4281abb5aca3580be5~mv2.jpg
GRIP-2B,20.1,13,11.5,https://www.nefal.tv/de/porta-brace-grip-2b/,https://static.wixstatic.com/media/198a64_268a665255fc4319a1f829d1641a03e0~mv2.png
GRIP-3BOR,29.5,13,11.5,https://www.nefal.tv/de/porta-brace-grip-3bor/,https://static.wixstatic.com/media/b7e951_58740f98c31146a09995680f775a92e1~mv2.jpg
HK-12BOR,30,13,6,https://www.nefal.tv/de/porta-brace-hk-12bor/,https://static.wixstatic.com/media/b7e951_b0647a2372eb402cb8d3073f68ab7c7a~mv2.jpg
LB-1B,13,7,7,https://www.nefal.tv/de/porta-brace-lb-1b-lens-bag-carrying-case-black/,https://static.wixstatic.com/media/198a64_9195d534e2c1412ba660b759a862d5f4~mv2.jpg
MB-LIGHT,,,,https://www.nefal.tv/de/porta-brace-mb-light/,https://static.wixstatic.com/media/198a64_6a7e5b9415f044cea1f874128b864ae4~mv2.jpg
RB-1B,18,9.5,7,https://www.nefal.tv/de/porta-brace-rb-1b/,https://static.wixstatic.com/media/198a64_cfd5e4f175a0491bb23f08215d1b147c~mv2.jpg
RB-2B,21,9.5,7,https://www.nefal.tv/de/porta-brace-rb-2b/,https://static.wixstatic.com/media/198a64_4aebc05b46fe4d468650acd67a9e3e60~mv2.png
RB-3B,25,9.5,7,https://www.nefal.tv/de/porta-brace-rb-3b/,https://static.wixstatic.com/media/198a64_efd8b375756d4dc2b0116ba8d64377e9~mv2.png
TLQB-39XT,39,9,8,https://www.nefal.tv/de/porta-brace-tlqb-39xt/,https://static.wixstatic.com/media/198a64_76e801f2361e487bb93718b47906a114~mv2.jpg
TLQB-41XT,41,9,8,https://www.nefal.tv/de/porta-brace-tlqb-41xt/,https://static.wixstatic.com/media/198a64_9fe34337ae6f4cac95f4fde3a1f26cb1~mv2.jpg
TLQB-46XTOR,46,10,,https://www.nefal.tv/de/porta-brace-tlqb-46xtor/,https://static.wixstatic.com/media/198a64_781efba130374964bc7e5aafde246f76~mv2.jpg
WPC-1ORB,20.5,10.5,7,https://www.nefal.tv/de/porta-brace-wpc-1orb/,https://static.wixstatic.com/media/198a64_ca9c9df0365e485abe11eb4f238cac7e~mv2.jpg
WPC-2ORB,20.5,10.5,7,https://www.nefal.tv/de/porta-brace-wpc-2orb-wheeled-production-case-black/,https://static.wixstatic.com/media/198a64_2318c3ddd4e84408b9f3ac851dbbc9d5~mv2.png
WPC-3ORB,36,13,9.5,https://www.nefal.tv/de/porta-brace-wpc-3or-large-wheeled-production-case/,https://static.wixstatic.com/media/198a64_2bee021c74b9417f8a9b3a2fb2438076~mv2.jpg
WRB-3ORB,39,12,12,https://www.nefal.tv/de/porta-brace-wrb-3orb-kameratasche-mit-rollen/,https://static.wixstatic.com/media/198a64_e4c1ba044ca24c3a820584487e5d9a65~mv2.png
